"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","30000000","45000000","84000000","107000000","155000000","879000000","1108000000","1209000000","1357000000","1347000000","1733000000","1725000000","1165000000","1389000000","2524000000","2423000000","1488000000","2052000000","3435000000","4416000000","4716000000","5206000000","5456000000","1952000000","265000000","5180000000","1389000000","279000000","259000000","330000000","284000000","135000000","194000000","131000000","87000000","123000000","235000000",
"Africa Eastern and Southern","AFE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4272845383.1993","4281293915.84033","4524189229.26985","5064895318.29557","5502106882.4687","5690086733.73155","6180101626.91111","6453622871.16435","6983768294.38878","7793771361.34722","8210917660.49792","8636512492.28965","9320843636.21282","13163869921.2999","17813731073.605","16584469574.3356","16050099884.7907","19339747281.8905","21959848467.1889","30142252330.0234","40107296580.1145","33574110150.3491","29532565494.0778","30174290375.3327","29339336132.0517","28040631419.9081","30513967253.8417","35401653116.4588","37860750997.401","39340481111.8637","41506683959.84","39906948241.5927","39901863258.3815","40981473428.3237","43202705275.1445","48514346647.9769","52909030983.815","54938128817.341","47079949331.7919","48603805871.0983","56207839836.4162","54262101733.526","57874017867.052","69270919576.3006","89168480646.2428","109857959157.225","130196716850.289","162717177619.075","201354412768.786","149973304652.601","205278419601.156","249111405766.474","239341035386.705","236590164275.723","227123751938.15","178801539303.468","166706245704.624","197562561606.936","221895470295.954","201419474021.965","182091989461.101","256380842310.687","282040909072.325",
"Afghanistan","AFG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","50000000","53000000","58000000","70000000","64000000","74000000","67000000","66000000","72000000","82000000","86000000","100000000","122000000","143000000","230000000","217000000","291000000","306000000","321000000","474000000","670000000","694000000","708000000","729000000","633000000","567000000","552000000","512000000","395000000","236000000","235000000","189000000","181000000","688000000","105000000","166000000","128000000","144000000","159000000","166000000","137000000","68000000","100000000","144000000","305000000","384000000","416000000","454000000","540000000","403000000","388000000","376000000","429000000","515000000","570000000","571000000","596000000","723000000","875000000","864000000","777000000","1036000000","883000000",
"Africa Western and Central","AFW","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1585000000","1646000000","1620000000","1821000000","2124000000","2301000000","2375000000","2313000000","2497000000","2902000000","3459000000","4060000000","4730000000","6988000000","14402000000","13229000000","16934000000","19798000000","18098000000","27317000000","38234000000","28572000000","22427000000","20176000000","22327000000","23190000000","15510000000","18098000000","17184000000","22101000000","27434000000","24685000000","25228000000","22647000000","22389000000","28845000000","34069000000","33198000000","26634000000","31386000000","39059000000","36380000000","38730000000","48903000000","70669000000","90665000000","106252000000","119837000000","157215000000","113875000000","150095000000","204483000000","200079000000","179608000000","188350000000","115200000000","95122000000","115985000000","141699000000","139594000000","113387000000","136447000000","164620000000",
"Angola","AGO","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","124000000","135000000","148000000","163000000","204000000","200000000","221000000","238000000","271000000","326000000","423000000","455000000","479000000","792000000","1202000000","1012000000","619000000","786000000","968000000","1091000000","1883000000","1856000000","1629000000","1822000000","2033000000","2245000000","1332000000","2168000000","2516000000","3015000000","3910000000","3410000000","3755000000","3762000000","3018000000","3642000000","5095000000","5007000000","3543000000","5157000000","7921000000","6534000000","8328000000","9508000000","13475000000","24109000000","31862000000","44396000000","63914000000","40828000000","50595000000","67310000000","71093000000","68247000000","59170000000","33181000000","27589000000","34613000000","40758000000","34726000000","20937000000","33581000000","47560000000",
"Albania","ALB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","49000000","49000000","41000000","48000000","60000000","","","","","","","","","","","","","","","","","","","","","","","","258000000","305000000","230000000","100000000","70000000","122000000","140000000","202000000","207000000","139000000","205000000","351000000","261000000","307000000","340000000","448000000","605000000","659000000","790000000","1079000000","1027000000","1091000000","1544000000","1947000000","1967000000","2339000000","2429000000","1917000000","1959000000","2292000000","2870000000","2716000000","2506000000","3559000000","4309000000",
"Andorra","AND","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95000000","90000000","97000000","118000000","129000000","126000000","117000000","148000000","165000000",
"Arab World","ARB","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4671188473.64075","4611018592.05672","4872757576.94728","6137327921.57179","6820256077.55062","7258493381.75436","7959472502.20839","8334531430.74889","9923016304.56747","10917825013.4236","11949738482.5898","15533857762.2789","18899359805.5461","28288869826.7351","84118497285.8438","76891091676.2412","93041690724.7565","102080209770.039","100470665437.666","160160190800.39","238657818314.925","227031994361.53","169923756918.76","129621970233.772","122456740168.473","113154476475.581","79308918084.5597","91506355913.0038","92536263719.4506","116488890746.696","142458211638.367","127509004558.812","134000331950.37","127278353346.074","131815162417.51","149872143880.88","180194755705.155","188046925251.872","142679837368.868","178779760656.571","263246240424.242","236219935279.412","245977484409.623","300838376775.229","403934454712.678","558740528883.449","677951103940.463","792872569271.895","1082862316397.52","740855706642.495","927788486253.702","1243535956854.1","1401479890349.47","1384813835982.06","1253243364416.32","866791268797.885","791630061217.184","913507164859.731","1160361123877.76","1097760379077.73","821330917598.425","1196281540352.07","1708398433658.77",
"United Arab Emirates","ARE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2000000","2000000","10000000","35000000","125000000","190000000","241000000","262000000","335000000","407000000","523000000","871000000","1157000000","1807000000","6414000000","7262000000","9535000000","9636000000","9126000000","13652000000","21970000000","22380000000","18780000000","16900000000","16500000000","16780000000","10640000000","12380000000","12040000000","17596000000","23544000000","24436000000","24756000000","25620000000","26403000000","28364000000","37334000000","40423000000","33837000000","36474000000","49835000000","48414000000","52163000000","67135000000","90997000000","117287000000","145587000000","178630000000","239213000000","191802000000","213539000000","302037000000","359728000000","374214000000","343036000000","300477000000","295031000000","313603000000","387964000000","389428000000","335297000000","425160000000","598509000000",
"Argentina","ARG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1079000000","964000000","1216000000","1365000000","1410000000","1493000000","1593000000","1465000000","1368000000","1612000000","1773000000","1740000000","1941000000","3266000000","3931000000","2961000000","3916000000","5652000000","6400000000","7810000000","8021000000","9143000000","7625000000","7836000000","8107000000","8396000000","6852000000","6360000000","9135000000","9579000000","12353000000","11978000000","12235000000","13118000000","15659000000","20967000000","23811000000","26370000000","26441000000","23333000000","26341000000","26543000000","25650000000","29566000000","34576000000","40351000000","46546000000","55779000000","70018000000","55672000000","68187000000","84051000000","79982000000","75963000000","68405000000","56784000000","57910000000","58644000000","61781000000","65116000000","54884000000","77935000000","88445000000",
"Armenia","ARM","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83000000","156000000","216000000","271000000","290000000","233000000","221000000","232000000","294000000","343000000","505000000","686000000","723000000","974000000","985000000","1152000000","1057000000","710000000","1011000000","1334000000","1380000000","1480000000","1519000000","1485000000","1792000000","2245000000","2412000000","2640000000","2544000000","3023000000","5360000000",
"American Samoa","ASM","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","8000000","9000000","11000000","17000000","13000000","15000000","20000000","27000000","30000000","28000000","125000000","127000000","199000000","67000000","83000000","50000000","65000000","81000000","104000000","125000000","127000000","199000000","187000000","177000000","212000000","201000000","254000000","288000000","368000000","308000000","311000000","327000000","316000000","481000000","252000000","272000000","313000000","424000000","415000000","345000000","346000000","318000000","388000000","460000000","446000000","374000000","439000000","331000000","337000000","484000000","320000000","300000000","422000000","388000000","346000000","379000000","388000000","397000000","377000000","353000000","399000000","317000000","302000000",
"Antigua and Barbuda","ATG","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2000000","2000000","3000000","4000000","2000000","1000000","0","1000000","7000000","6000000","11000000","16000000","18000000","26000000","29000000","20000000","9000000","7000000","13000000","37000000","26000000","40000000","21000000","20000000","18000000","17000000","20000000","19000000","17000000","16000000","21000000","50000000","65000000","62000000","44000000","53000000","38000000","38000000","36000000","38000000","52000000","41000000","39000000","45000000","57000000","83000000","74000000","59000000","65000000","51000000","46000000","56000000","63000000","69000000","99000000","66000000","61000000","21000000","26000000","38000000","22000000","19000000","18000000",
"Australia","AUS","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","2050000000","2363000000","2356000000","2805000000","3053000000","3005000000","3171000000","3478000000","3526000000","4220000000","4770000000","5213000000","6461000000","9559000000","11016000000","11948000000","13193000000","13367000000","14416000000","18663000000","21944000000","21477000000","21360000000","20113000000","23111000000","22604000000","22569000000","26621000000","33233000000","37125000000","39752000000","41854000000","42824000000","42723000000","47528000000","53111000000","60301000000","62910000000","55893000000","56080000000","63870000000","63387000000","65033000000","70377000000","86565000000","106097000000","123437000000","141358000000","187257000000","154331000000","212634000000","271733000000","256675000000","252981000000","239975000000","187684000000","192505000000","231131000000","257098000000","271005000000","250823000000","344864000000","412184000000",
"Austria","AUT","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","1120000000","1202000000","1264000000","1326000000","1446000000","1600000000","1684000000","1809000000","1989000000","2412000000","2857000000","3168000000","3883000000","5283000000","7161000000","7519000000","8506000000","9808000000","12175000000","15481000000","17489000000","15841000000","15642000000","15427000000","15739000000","17239000000","22508000000","27168000000","31027000000","31906000000","41265000000","41111000000","44537000000","40685000000","45002000000","57738000000","58222000000","59784000000","64085000000","66061000000","67710000000","70751000000","78673000000","97146000000","118376000000","125182000000","136751000000","163620000000","181289000000","136989000000","152560000000","177428000000","166611000000","175156000000","178223000000","152728000000","152090000000","168026000000","184815000000","178670000000","169418000000","202806000000","211647000000",
"Azerbaijan","AZE","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571000000","993000000","655000000","635000000","630000000","780000000","605000000","929000000","1745000000","2314000000","2167000000","2592000000","3615000000","7649000000","13015000000","21269000000","30586000000","21097000000","26476000000","34495000000","32634000000","31703000000","28260000000","16592000000","13108000000","15481000000","20317000000","19635000000","13733000000","22207000000","41794000000",
"Burundi","BDI","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","7000000","8000000","9000000","9000000","9000000","9000000","10000000","14000000","15000000","12000000","24000000","19000000","26000000","30000000","31000000","32000000","61000000","90000000","69000000","104000000","65000000","75000000","88000000","80000000","103000000","112000000","154000000","91000000","133000000","78000000","75000000","90000000","72000000","68000000","120000000","105000000","39000000","86000000","65000000","54000000","50000000","39000000","30000000","38000000","47000000","58000000","58000000","59000000","57000000","67000000","101000000","123000000","134000000","94000000","132000000","121000000","125000000","172000000","180000000","180000000","162000000","165000000","181000000",
"Belgium","BEL","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","179152000000","188371000000","190349000000","216127000000","255617000000","306866000000","334400000000","366745000000","430952000000","471840000000","370125000000","407692000000","475672000000","445939000000","468760000000","472192000000","396841000000","398134000000","429645000000","468213000000","446910000000","421842000000","548869000000","632852000000",
"Benin","BEN","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","18000000","15000000","11000000","13000000","13000000","14000000","10000000","15000000","22000000","27000000","33000000","42000000","36000000","43000000","34000000","32000000","25000000","31000000","27000000","46000000","63000000","34000000","24000000","67000000","167000000","199000000","188000000","260000000","226000000","218000000","288000000","330000000","335000000","384000000","398000000","420000000","528000000","424000000","407000000","422000000","392000000","374000000","448000000","541000000","569000000","578000000","736000000","1047000000","1282000000","1225000000","1282000000","1410000000","1443000000","1982000000","2560000000","1682000000","1774000000","2216000000","3344000000","3052000000","2996000000","3445000000","3611000000",
"Burkina Faso","BFA","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","4000000","4000000","8000000","9000000","12000000","15000000","16000000","18000000","21000000","21000000","18000000","16000000","20000000","25000000","36000000","44000000","53000000","55000000","43000000","77000000","90000000","74000000","56000000","58000000","79000000","71000000","83000000","155000000","142000000","95000000","152000000","106000000","64000000","69000000","107000000","276000000","233000000","232000000","319000000","255000000","209000000","223000000","247000000","321000000","479000000","468000000","588000000","623000000","693000000","900000000","1591000000","2399000000","2182000000","2356000000","2453000000","2176000000","2509000000","2875000000","3254000000","3239000000","4372000000","5043000000","4518000000",
"Bangladesh","BGD","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","","","","","","","","","","","","","260000000","358000000","348000000","327000000","401000000","476000000","548000000","659000000","759000000","791000000","769000000","724000000","931000000","999000000","880000000","1067000000","1291000000","1305000000","1671000000","1689000000","2098000000","2545000000","2934000000","3501000000","4249000000","4832000000","5121000000","5497000000","6389000000","6080000000","6149000000","6990000000","8305000000","9297000000","11802000000","12453000000","15370000000","15083000000","19194000000","24439000000","25127000000","29114000000","30405000000","32379000000","34894000000","35851000000","39252000000","39337000000","33605000000","44223000000","54695000000",
"Bulgaria","BGR","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","572000000","663000000","773000000","834000000","980000000","1176000000","1305000000","1458000000","1615000000","1795000000","2004000000","2182000000","2627000000","3301000000","3836000000","4691000000","5382000000","6329000000","7478000000","8869000000","10390000000","10700000000","11440000000","12140000000","12860000000","13310000000","14140000000","15850000000","17290000000","16220000000","5030000000","3760000000","3550000000","3580000000","4005000000","5355000000","4890000000","4940000000","4300000000","3979000000","4852000000","5118000000","5733000000","7543000000","9932000000","11739000000","15064000000","18518000000","22362000000","16318000000","20630000000","28208000000","26686000000","29579000000","29245000000","25371000000","26572000000","31438000000","33617000000","33340000000","31954000000","41157000000","50718000000",
"Bahrain","BHR","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","190000000","198000000","212000000","206000000","176000000","165000000","187000000","211000000","211000000","226000000","218000000","269000000","347000000","481000000","1272000000","1107000000","1516000000","1845000000","1893000000","2492000000","3606000000","4347000000","3789000000","3119000000","3204000000","2897000000","2199000000","2430000000","2411000000","2831000000","3761000000","3511000000","3464000000","3723000000","3622000000","4113000000","4700000000","4384000000","3270000000","4363000000","6194000000","5577000000","5794000000","6632000000","7558000000","10242000000","12200000000","13634000000","17316000000","11874000000","14971000000","19650000000","19768000000","21930000000","20130000000","16540000000","12785000000","15376000000","18044000000","18120000000","14066000000","22369000000","29788000000",
"Bahamas, The","BHS","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","6000000","8000000","9000000","10000000","16000000","19000000","23000000","31000000","51000000","53000000","90000000","267000000","343000000","530000000","1444000000","2508000000","2992000000","3261000000","3058000000","3786000000","5009000000","6189000000","4534000000","3970000000","3393000000","2728000000","2702000000","2722000000","2153000000","2487000000","238000000","225000000","192000000","162000000","167000000","176000000","180000000","181000000","300000000","462000000","576000000","423000000","446000000","425000000","477000000","549000000","694000000","802000000","956000000","711000000","702000000","834000000","984000000","955000000","834000000","521000000","481000000","571000000","642000000","695000000","431000000","636000000","783000000",
