"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","210000000","250000000","355000000","402000000","581000000","1403000000","1306000000","1396000000","1439000000","1597000000","2035000000","2116000000","1518000000","1994000000","2582000000","2372000000","2017000000","2397000000","3589000000","4288000000","4723000000","5126000000","6011000000","2449000000","1394000000","5917000000","2046000000","1377000000","1350000000","1250000000","1138000000","1124000000","1232000000","1206000000","861000000","1061000000","1275000000",
"Africa Eastern and Southern","AFE","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","3757510945.83832","3608729973.25668","3525370421.24286","3988596286.23107","4840129937.81532","5420481249.30397","5382494618.00653","5926969666.60316","6253021585.23951","6733130397.47102","7960309625.21884","9250799905.12905","8786518855.93813","11082599681.0278","16075731328.2355","17051776715.7392","15138727756.2321","15412020464.7331","18894128333.665","21688256102.4321","37964472429.1819","41669420539.6803","34892350720.5596","30564799574.9361","30097591714.4235","25146415196.9998","27510057589.7901","32565512448.0722","37685374516.8845","38527779937.1523","39835348544.5826","39292487770.1139","41475176571.4146","40552830269.3622","45749390149.1677","55751272905.9302","57473323858.8831","61700913337.8511","57896995017.4083","54687027172.7927","57528056496.5873","57406428412.8002","59280514470.487","78496738141.4902","100985770833.732","121443614526.729","146207092385.791","172207122430.022","208816162082.586","180259915144.095","207879625837.425","258433325296.185","275954864333.087","283933666629.523","285061767106.649","251569447101.131","215120551092.219","232174835573.906","257377188101.966","248905792066.192","207754553187.919","266726343538.594","315357788953.613",
"Afghanistan","AFG","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","87000000","99000000","116000000","125000000","124000000","121000000","128000000","126000000","114000000","126000000","114000000","141000000","164000000","172000000","243000000","350000000","261000000","328000000","395000000","425000000","841000000","886000000","962000000","1064000000","1390000000","1194000000","1404000000","996000000","900000000","822000000","936000000","443000000","398000000","465000000","391000000","387000000","661000000","604000000","462000000","1012000000","1176000000","1696000000","2452000000","2101000000","2177000000","2471000000","2744000000","3022000000","3020000000","3336000000","5154000000","6515000000","9069000000","8554000000","7729000000","7723000000","6534000000","7065000000","7407000000","6777000000","6538000000","5550000000","5629000000",
"Africa Western and Central","AFW","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","1880000000","2081000000","2030000000","2052000000","2283000000","2488000000","2393000000","2381000000","2351000000","2696000000","3297000000","3910000000","4136000000","5475000000","7704999999.99999","11823000000","14454000000","18943000000","22117000000","20316000000","29015000000","32213000000","26571000000","22067000000","17965000000","18194000000","14944000000","15271000000","15883000000","15889000000","18199000000","20739000000","21275000000","20673000000","18610000000","23284000000","23012000000","25549000000","25625000000","25671000000","24830000000","29294000000","26260000000","32461000000","40937000000","52941000000","63537000000","83123000000","109359000000","87855000000","106190000000","133653000000","136126000000","146731000000","150069000000","124725000000","111644000000","104782000000","123644000000","133109000000","110584000000","141918000000","160161000000",
"Angola","AGO","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","128000000","114000000","136000000","147000000","164000000","195000000","207000000","275000000","303000000","321000000","368000000","445000000","392000000","579000000","614000000","429000000","353000000","720000000","885000000","1112000000","1328000000","1662000000","886000000","983000000","1256000000","1401000000","1086000000","1303000000","1372000000","1338000000","1578000000","1347000000","1988000000","1463000000","1454000000","1468000000","2040000000","2597000000","2079000000","3109000000","3040000000","3179000000","3760000000","5480000000","5832000000","8353000000","8778000000","13661000000","20982000000","22660000000","16667000000","20228000000","23717000000","26331000000","28580000000","20693000000","13040000000","14463000000","15798000000","14127000000","9543000000","11795000000","16932000000",
"Albania","ALB","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","81000000","72000000","65000000","71000000","98000000","","","","","","","","","","","","","","","","","","","","","","","","318000000","387000000","380000000","410000000","541000000","572000000","604000000","714000000","938000000","646000000","829000000","1140000000","1091000000","1327000000","1504000000","1864000000","2309000000","2619000000","3060000000","4191000000","5575000000","4553000000","4406000000","5383000000","4879000000","4920000000","5222000000","4302000000","4613000000","5271000000","5925000000","5897000000","5570000000","7718000000","8399000000",
"Andorra","AND","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1556000000","1294000000","1354000000","1478000000","1609000000","1567000000","1449000000","1833000000","2075000000",
"Arab World","ARB","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","4880872510.304","4878853952.60743","4465049624.81077","5129155106.982","5535894482.84066","5723620348.62159","6375614484.6134","6202018522.70846","6487644436.77298","7156796313.18563","7708871843.19726","8760540403.10975","10738726945.7474","15485365369.2296","27886374578.1017","39160019313.4399","44831157161.9507","61964674890.4289","73166660827.539","84885397534.9707","111167018744.3","134244179610.326","138339833176.664","123602343434.014","114619761684.281","98357251601.8726","90131628988.3537","91422496635.3096","109588506625.583","107805110900.664","102036073003.87","103810385219.154","120811687418.507","120387790302.227","122582971797.246","137391111059.277","150326028778.892","154781994894.068","160677192646.898","156389776099.385","166970046265.952","175534786572.494","183508089473.942","214421291318.049","284810416755.109","342806607214.083","391821225202.173","521439879850.811","684069017790.291","598829363379.572","664126677027.037","765085849499.787","867330843225.251","911130517404.255","917954251697.507","866172191107.421","787852152480.541","800689170151.872","826753796408.82","894083797656.729","767315346475.647","955974795191.233","1147999179587",
"United Arab Emirates","ARE","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","160000000","170000000","170000000","180000000","205000000","225000000","237000000","240000000","280000000","307000000","267000000","309000000","482000000","821000000","1705000000","2685000000","3337000000","5055000000","5371000000","6966000000","8746000000","9646000000","9440000000","8294000000","6936000000","6549000000","6422000000","7226000000","8522000000","10010000000","11199000000","13746000000","17410000000","20994000000","22775000000","23778000000","30563000000","34107000000","32588000000","31721000000","35009000000","37293000000","42652000000","52074000000","72082000000","84654000000","100057000000","150123000000","200327000000","170121000000","187001000000","229932000000","256528000000","270579000000","276025000000","263417000000","266576000000","257733000000","244688000000","288447000000","246961000000","347529000000","424525000000",
"Argentina","ARG","Merchandise imports (current US$)","TM.VAL.MRCH.CD.WT","1249000000","1460000000","1357000000","981000000","1077000000","1199000000","1124000000","1096000000","1169000000","1576000000","1694000000","1868000000","1905000000","2230000000","3635000000","3947000000","3033000000","4162000000","3834000000","6700000000","10541000000","9430000000","5337000000","4504000000","4585000000","3814000000","4724000000","5818000000","5322000000","4203000000","4076000000","8275000000","14872000000","16784000000","21527000000","20122000000","23762000000","30450000000","31404000000","25508000000","25154000000","20320000000","8990000000","13834000000","22445000000","28689000000","34152000000","44706000000","57462000000","38786000000","56793000000","74319000000","67974000000","74442000000","65735000000","60205000000","55852000000","66937000000","65482000000","49124000000","42354000000","63185000000","81522000000",
